,Question,Count,Keywords
59,Are the symptoms of COVID-19 different in children than in adults?,1,"['adults', 'symptoms', 'children']"
60,What alternatives do I have if there are no hand sanitizers available? Can I use other alcohol like ethyl or liquor?,1,"['hand sanitizers', 'ethyl or liquor', 'alternatives', 'hand', 'sanitizers', 'alcohol like ethyl', 'liquor', 'alcohol', 'ethyl']"
61,Until when should I wear a mask after recovering from an illness with respiratory symptoms?,1,"['respiratory symptoms', 'wear a mask', 'mask after recovering', 'illness with respiratory', 'symptoms', 'wear', 'mask', 'recovering', 'illness', 'respiratory']"
62,Is Metothrexate therapy safe for COVID patients with extrauterine pregnancy?,1,"['metothrexate therapy safe', 'metothrexate therapy', 'safe for covid', 'covid patients', 'extrauterine pregnancy', 'therapy safe', 'patients with extrauterine', 'metothrexate', 'covid', 'pregnancy', 'therapy', 'safe', 'patients', 'extrauterine']"
63,What should healthcare professionals and health departments do?,1,"['healthcare professionals', 'professionals and health', 'health departments', 'healthcare', 'professionals', 'health', 'departments']"
64,Should pregnant woman who test positive perform CT scan in case of mild respiratory disease?,1,"['mild respiratory disease', 'test positive perform', 'respiratory disease', 'pregnant woman', 'woman who test', 'test positive', 'positive perform', 'perform ct scan', 'scan in case', 'case of mild', 'mild respiratory', 'disease', 'pregnant', 'woman', 'test', 'positive', 'perform', 'scan', 'case', 'mild']"
65,Why is coronavirus infection called COVID-19?,1,"['coronavirus infection called', 'infection called', 'coronavirus infection', 'called', 'coronavirus', 'infection']"
66,Could you please further justify the contraindication of delayed cord clamping?,1,"['delayed cord clamping', 'cord clamping', 'justify the contraindication', 'contraindication of delayed', 'delayed cord', 'clamping', 'justify', 'contraindication', 'delayed', 'cord']"
67,What do you estimate the false negative rate of nasopharyngeal swabs to be?,1,"['false negative rate', 'estimate the false', 'false negative', 'negative rate', 'rate of nasopharyngeal', 'nasopharyngeal swabs', 'estimate', 'false', 'negative', 'rate', 'nasopharyngeal', 'swabs']"
68,"Is there a vaccine, drug or treatment for COVID-19?",1,"['drug or treatment', 'vaccine', 'drug', 'treatment']"
69,"Can I catch the virus from being in an enclosed space (i.e. bus, subway) in close proximity to someone who doesnt have respiratory symptoms?",1,"['enclosed space', 'respiratory symptoms', 'catch the virus', 'close proximity', 'doesnt have respiratory', 'bus', 'subway', 'space', 'symptoms', 'catch', 'virus', 'enclosed', 'close', 'proximity', 'doesnt', 'respiratory']"
70,Are pets from a shelter safe to adopt?,1,"['safe to adopt', 'shelter safe', 'adopt', 'pets', 'shelter', 'safe']"
71,What if my child needs to go to the hospital?,1,"['hospital', 'child']"
72,If a healthcare worker has contact with someone positive but is asymptomatic what do you do?,1,"['healthcare worker', 'worker has contact', 'healthcare', 'worker', 'contact', 'positive', 'asymptomatic']"
73,I am well and asymptomatic. Should I use a mask?,1,"['asymptomatic', 'mask']"
74,Indications of termination according to maternal condition?,1,"['indications of termination', 'maternal condition', 'indications', 'condition', 'termination', 'maternal']"
75,Do we have any further information regarding the impact of NSAIDs on disease course?,1,"['impact of nsaids', 'nsaids on disease', 'information', 'impact', 'nsaids', 'disease']"
76,Are you restricting staff with their own chronic health conditions from treating these patients?,1,"['chronic health conditions', 'treating these patients', 'restricting staff', 'chronic health', 'health conditions', 'conditions from treating', 'patients', 'restricting', 'staff', 'chronic', 'health', 'conditions', 'treating']"
77,You recommend surgical masks and gloves in outpatient obstetrical outpatient clinic?,1,"['obstetrical outpatient clinic', 'recommend surgical masks', 'outpatient obstetrical outpatient', 'outpatient clinic', 'recommend surgical', 'surgical masks', 'masks and gloves', 'outpatient obstetrical', 'obstetrical outpatient', 'gloves in outpatient', 'clinic', 'outpatient', 'recommend', 'surgical', 'masks', 'gloves', 'obstetrical']"
78,Are antibiotics effective in preventing or treating COVID-19?,1,"['preventing or treating', 'antibiotics effective', 'effective in preventing', 'treating', 'antibiotics', 'effective', 'preventing']"
79,How can my family cope with the added stress?,1,"['added stress', 'family cope', 'stress', 'family', 'cope', 'added']"
80,What are the latest protocols and guidance for Medical Evacuation of staff members with severe respiratory infections related to COVID-19?,1,"['medical evacuation', 'severe respiratory infections', 'respiratory infections related', 'guidance for medical', 'evacuation of staff', 'latest protocols', 'protocols and guidance', 'staff members', 'members with severe', 'severe respiratory', 'respiratory infections', 'infections related', 'medical', 'evacuation', 'latest', 'protocols', 'guidance', 'staff', 'members', 'severe']"
81,Is it safe to get care for my other medical conditions during this time?,1,"['medical conditions', 'time', 'safe', 'care', 'medical', 'conditions']"
82,How long is the incubation and transmission period for COVID-19?,1,"['incubation and transmission', 'transmission period', 'long', 'incubation', 'transmission', 'period']"
83,What is the risk of catching the virus from fresh produce?,1,"['fresh produce', 'risk of catching', 'catching the virus', 'virus from fresh', 'produce', 'risk', 'catching', 'virus', 'fresh']"
84,How many cases have been reported in the United States?,1,"['united states', 'states', 'united', 'cases', 'reported']"
85,Are pregnant women more susceptible to the COVID-19 virus and will it harm the fetus?,1,"['harm the fetus', 'pregnant women', 'women more susceptible', 'virus', 'fetus', 'pregnant', 'women', 'susceptible', 'harm']"
86,Indications of ICU admission of a pregnant women?,1,"['indications of icu', 'icu admission', 'pregnant women', 'icu', 'indications', 'women', 'admission', 'pregnant']"
87,Indications of fetal monitoring?,1,"['indications of fetal', 'fetal monitoring', 'indications', 'monitoring', 'fetal']"
88,What can we do if we dont have any hand sanitizers in the office building?,1,"['office building', 'hand sanitizers', 'building', 'dont', 'hand', 'sanitizers', 'office']"
89,Should schools and day care centres be closed?,1,"['day care centres', 'centres be closed', 'schools and day', 'day care', 'care centres', 'closed', 'schools', 'day', 'care', 'centres']"
90,Are you increasing the ambient temperatures in the hospital?,1,"['increasing the ambient', 'ambient temperatures', 'hospital', 'increasing', 'ambient', 'temperatures']"
91,Does the UN have any specific guidelines for meeting  mass gathering organizers and participants during the COVID-19 outbreak?,1,"['meeting mass gathering', 'mass gathering organizers', 'specific guidelines', 'guidelines for meeting', 'meeting mass', 'mass gathering', 'gathering organizers', 'organizers and participants', 'outbreak', 'specific', 'guidelines', 'meeting', 'mass', 'gathering', 'organizers', 'participants']"
92,What about imported animals or animal products?,1,"['animal products', 'imported animals', 'products', 'imported', 'animals or animal', 'animals', 'animal']"
93,Is it safe to receive a package from an area where COVID-19 has been reported?,1,"['safe to receive', 'receive a package', 'reported', 'safe', 'receive', 'package', 'area']"
94,What about self-quarantining after returning from an areacountry of high prevalence?,1,"['high prevalence', 'self-quarantining after returning', 'areacountry of high', 'prevalence', 'self-quarantining', 'returning', 'areacountry', 'high']"
